# Combined map
# rounds=12, blocks=2
# Format:
# <name> input/output <index> aig_lit <aig_lit> dimacs_lit <dimacs_lit>

# Inputs
rk[4][9] output 137 aig_lit 910 dimacs_lit 455
rk[4][10] output 138 aig_lit 964 dimacs_lit 482
rk[4][11] output 139 aig_lit 760 dimacs_lit 380
rk[4][12] output 140 aig_lit 526 dimacs_lit 263
rk[4][13] output 141 aig_lit 550 dimacs_lit 275
rk[4][14] output 142 aig_lit 1397 dimacs_lit -698
rk[4][15] output 143 aig_lit 280 dimacs_lit 140
rk[5][0] output 144 aig_lit 568 dimacs_lit 284
rk[5][1] output 145 aig_lit 1469 dimacs_lit -734
rk[5][2] output 146 aig_lit 1415 dimacs_lit -707
rk[5][3] output 147 aig_lit 1258 dimacs_lit 629
rk[5][4] output 148 aig_lit 796 dimacs_lit 398
rk[5][5] output 149 aig_lit 664 dimacs_lit 332
rk[5][6] output 150 aig_lit 628 dimacs_lit 314
rk[5][7] output 151 aig_lit 700 dimacs_lit 350
rk[5][8] output 152 aig_lit 346 dimacs_lit 173
rk[5][9] output 153 aig_lit 388 dimacs_lit 194
rk[5][10] output 154 aig_lit 466 dimacs_lit 233
rk[5][11] output 155 aig_lit 886 dimacs_lit 443
rk[5][12] output 156 aig_lit 928 dimacs_lit 464
rk[5][13] output 157 aig_lit 982 dimacs_lit 491
rk[5][14] output 158 aig_lit 1145 dimacs_lit -572
rk[5][15] output 159 aig_lit 778 dimacs_lit 389
rk[6][0] output 160 aig_lit 1000 dimacs_lit 500
rk[6][1] output 161 aig_lit 1163 dimacs_lit -581
rk[6][2] output 162 aig_lit 3325 dimacs_lit -1662
rk[6][3] output 163 aig_lit 3828 dimacs_lit 1914
rk[6][4] output 164 aig_lit 1547 dimacs_lit -773
rk[6][5] output 165 aig_lit 1486 dimacs_lit 743
rk[6][6] output 166 aig_lit 1433 dimacs_lit -716
rk[6][7] output 167 aig_lit 1276 dimacs_lit 638
rk[6][8] output 168 aig_lit 814 dimacs_lit 407
rk[6][9] output 169 aig_lit 682 dimacs_lit 341
rk[6][10] output 170 aig_lit 718 dimacs_lit 359
rk[6][11] output 171 aig_lit 1612 dimacs_lit 806
rk[6][12] output 172 aig_lit 406 dimacs_lit 203
rk[6][13] output 173 aig_lit 484 dimacs_lit 242
rk[6][14] output 174 aig_lit 1037 dimacs_lit -518
rk[6][15] output 175 aig_lit 946 dimacs_lit 473
rk[7][0] output 176 aig_lit 502 dimacs_lit 251
rk[7][1] output 177 aig_lit 1091 dimacs_lit -545
rk[7][2] output 178 aig_lit 1055 dimacs_lit -527
rk[7][3] output 179 aig_lit 1018 dimacs_lit 509
rk[7][4] output 180 aig_lit 1181 dimacs_lit -590
rk[7][5] output 181 aig_lit 3966 dimacs_lit 1983
rk[7][6] output 182 aig_lit 4067 dimacs_lit -2033
rk[7][7] output 183 aig_lit 4255 dimacs_lit -2127
rk[7][8] output 184 aig_lit 1565 dimacs_lit -782
rk[7][9] output 185 aig_lit 1505 dimacs_lit -752
rk[7][10] output 186 aig_lit 1451 dimacs_lit -725
rk[7][11] output 187 aig_lit 1294 dimacs_lit 647
rk[7][12] output 188 aig_lit 832 dimacs_lit 416
rk[7][13] output 189 aig_lit 736 dimacs_lit 368
rk[7][14] output 190 aig_lit 1648 dimacs_lit 824
rk[7][15] output 191 aig_lit 1631 dimacs_lit -815
rk[8][0] output 192 aig_lit 851 dimacs_lit -425
rk[8][1] output 193 aig_lit 3817 dimacs_lit -1908
rk[8][2] output 194 aig_lit 1667 dimacs_lit -833
rk[8][3] output 195 aig_lit 4429 dimacs_lit -2214
rk[8][4] output 196 aig_lit 1331 dimacs_lit -665
rk[8][5] output 197 aig_lit 1109 dimacs_lit -554
rk[8][6] output 198 aig_lit 1073 dimacs_lit -536
rk[8][7] output 199 aig_lit 1199 dimacs_lit -599
rk[8][8] output 200 aig_lit 3985 dimacs_lit -1992
rk[8][9] output 201 aig_lit 4609 dimacs_lit -2304
rk[8][10] output 202 aig_lit 4495 dimacs_lit -2247
rk[8][11] output 203 aig_lit 4377 dimacs_lit -2188
rk[8][12] output 204 aig_lit 1583 dimacs_lit -791
rk[8][13] output 205 aig_lit 1523 dimacs_lit -761
rk[8][14] output 206 aig_lit 4532 dimacs_lit 2266
rk[8][15] output 207 aig_lit 1313 dimacs_lit -656
rk[9][0] output 208 aig_lit 1601 dimacs_lit -800
rk[9][1] output 209 aig_lit 5187 dimacs_lit -2593
rk[9][2] output 210 aig_lit 4550 dimacs_lit 2275
rk[9][3] output 211 aig_lit 4049 dimacs_lit -2024
rk[9][4] output 212 aig_lit 4693 dimacs_lit -2346
rk[9][5] output 213 aig_lit 4717 dimacs_lit -2358
rk[9][6] output 214 aig_lit 5211 dimacs_lit -2605
rk[9][7] output 215 aig_lit 5317 dimacs_lit -2658
rk[9][8] output 216 aig_lit 1349 dimacs_lit -674
rk[9][9] output 217 aig_lit 1127 dimacs_lit -563
rk[9][10] output 218 aig_lit 1217 dimacs_lit -608
rk[9][11] output 219 aig_lit 5081 dimacs_lit -2540
rk[9][12] output 220 aig_lit 5347 dimacs_lit -2673
rk[9][13] output 221 aig_lit 4627 dimacs_lit -2313
rk[9][14] output 222 aig_lit 4651 dimacs_lit -2325
rk[9][15] output 223 aig_lit 4922 dimacs_lit 2461
rk[10][0] output 224 aig_lit 5533 dimacs_lit -2766
rk[10][1] output 225 aig_lit 4668 dimacs_lit 2334
rk[10][2] output 226 aig_lit 4940 dimacs_lit 2470
rk[10][3] output 227 aig_lit 4983 dimacs_lit -2491
rk[10][4] output 228 aig_lit 5460 dimacs_lit 2730
rk[10][5] output 229 aig_lit 5569 dimacs_lit -2784
rk[10][6] output 230 aig_lit 5719 dimacs_lit -2859
rk[10][7] output 231 aig_lit 5887 dimacs_lit -2943
rk[10][8] output 232 aig_lit 4735 dimacs_lit -2367
rk[10][9] output 233 aig_lit 5229 dimacs_lit -2614
rk[10][10] output 234 aig_lit 5335 dimacs_lit -2667
rk[10][11] output 235 aig_lit 5661 dimacs_lit -2830
rk[10][12] output 236 aig_lit 1367 dimacs_lit -683
rk[10][13] output 237 aig_lit 1235 dimacs_lit -617
rk[10][14] output 238 aig_lit 5280 dimacs_lit 2640
rk[10][15] output 239 aig_lit 5497 dimacs_lit -2748
rk[11][0] output 240 aig_lit 1385 dimacs_lit -692
