rounds,key,blocks,vars,clauses,literals,path
14,3,4,19680,58592,136032,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K3/instances/simon32_64_r14_key3_b4_reverse_round.cnf
14,3,8,37856,112864,261984,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K3/instances/simon32_64_r14_key3_b8_reverse_round.cnf
14,4,1,6048,17888,41568,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K4/instances/simon32_64_r14_key4_b1_reverse_round.cnf
14,4,2,10592,31456,73056,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K4/instances/simon32_64_r14_key4_b2_reverse_round.cnf
14,4,4,19680,58592,136032,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K4/instances/simon32_64_r14_key4_b4_reverse_round.cnf
14,4,8,37856,112864,261984,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K4/instances/simon32_64_r14_key4_b8_reverse_round.cnf
14,5,1,6048,17888,41568,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K5/instances/simon32_64_r14_key5_b1_reverse_round.cnf
14,5,2,10592,31456,73056,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K5/instances/simon32_64_r14_key5_b2_reverse_round.cnf
14,5,4,19680,58592,136032,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K5/instances/simon32_64_r14_key5_b4_reverse_round.cnf
14,5,8,37856,112864,261984,/home/balerso/Simon/Simon-Limitations/limitations/LIMITEDCNF/reverse_round/14roundsCNF/K5/instances/simon32_64_r14_key5_b8_reverse_round.cnf
